sale_time,location_id,item_id,item_name,item_category,price,quantity,check_id,check_total
2017-01-05 17:02:13,4,090b688c,Value Chicken Burger,Budget,110,1,44dd3ad3af,113.89
2017-02-25 23:07:58,2,5f2d20d4,Double BBQ Burger,Premium,350,3,f2d2afc56f,1033.79
2017-03-31 15:27:53,2,8109329a,Value Chicken Burger,Budget,110,1,05e737cc10,114.75
2016-03-26 17:43:57,2,5ea363f4,Double BBQ Burger,Premium,350,1,04d8846a9e,337.92
2017-02-07 18:53:21,2,5333b543,Classic Angus Burger,Premium,320,2,4e8dbb0999,641.81
2016-04-14 03:26:01,1,f6a1432d,Value Chicken Burger,Budget,110,2,db60563a9b,233.29
2015-06-03 21:59:33,1,d03abe95,Value Chicken Burger,Budget,110,1,b4c86f9926,104.79
2015-11-15 23:57:38,5,00b2b974,Value Chicken Burger,Budget,110,1,fa136ffd93,113.31
2016-08-11 07:10:26,2,88b40767,Mini Cheeseburger,Budget,100,1,af175e09d8,108.65
2015-02-26 02:05:01,4,a60ed303,Truffle Cheese Burger,Premium,370,1,e399dcf79d,360.42
2017-01-24 20:33:38,1,5044aee7,Mini Cheeseburger,Budget,100,1,16ff08d2b4,98.87
2016-08-09 01:09:35,4,9863cb21,Mini Cheeseburger,Budget,100,2,0c35498d51,212.54
2015-12-27 22:10:56,5,b2bb03b5,Classic Angus Burger,Premium,320,1,f9258d49c6,331.49
2015-04-30 00:21:17,3,92fe72bf,Truffle Cheese Burger,Premium,370,1,9580e1c67a,352.44
2017-08-09 21:24:11,5,b844de15,Mini Cheeseburger,Budget,100,1,d6446777bc,102.15
2015-08-26 03:24:09,2,8248e1ce,Truffle Cheese Burger,Premium,370,1,9fb20990b9,401.14
2016-01-15 03:55:26,1,5da277db,Double BBQ Burger,Premium,350,1,2676a2cecb,349.59
2015-09-29 16:05:07,2,9d8bdd83,Mini Cheeseburger,Budget,100,1,0f3cd886f3,99.63
2015-03-05 09:31:09,5,b599ebb9,Student Deal Burger,Budget,120,2,10e665816f,229.93
2017-08-26 14:39:46,4,e37e4410,Mini Cheeseburger,Budget,100,1,1344a3fbf1,105.86
2015-01-24 10:53:11,3,c763cb6a,Value Chicken Burger,Budget,110,1,15b902a9a5,106.25
2017-10-16 03:30:46,1,86723a1b,Value Chicken Burger,Budget,110,1,fc86c04fe8,119.72
2017-01-06 13:33:27,3,69dc22cf,Student Deal Burger,Budget,120,3,e09bef7975,392.1
2015-01-04 03:11:41,1,10560a7c,Value Chicken Burger,Budget,110,1,944e4b2af8,105.59
2016-09-30 01:33:29,1,6d19c16b,Mini Cheeseburger,Budget,100,1,970af7106b,100.93
2015-06-24 19:45:10,1,58c9b6bd,Value Chicken Burger,Budget,110,1,8f4e26f2a8,119.82
2017-03-02 02:53:22,2,c705144e,Value Chicken Burger,Budget,110,1,b24711d7a8,107.73
2016-11-09 09:36:41,2,c6f2f4db,Value Chicken Burger,Budget,110,1,081b3bb17f,105.42
2015-10-16 11:08:34,5,b218053f,Mini Cheeseburger,Budget,100,1,5d0c6f7cc9,97.3
2016-12-09 02:03:56,5,09ccf724,Value Chicken Burger,Budget,110,2,617fc003f5,239.26
2017-05-28 06:21:51,4,cd2f3887,Student Deal Burger,Budget,120,1,09f215f4be,124.13
2017-09-13 11:22:29,5,3da6e755,Value Chicken Burger,Budget,110,1,9c726991e2,110.44
2017-04-23 10:08:59,4,841f6310,Value Chicken Burger,Budget,110,1,e3db14e24d,113.09
2015-05-22 16:55:53,2,8fa2558f,Value Chicken Burger,Budget,110,1,e63a57dca2,109.27
2016-07-20 18:53:05,4,7e4dc793,Double BBQ Burger,Premium,350,1,8472c2c669,377.73
2016-02-03 02:38:33,2,5ac5f39b,Double BBQ Burger,Premium,350,1,e429314a4f,364.13
2016-11-20 14:20:50,2,df5959da,Double BBQ Burger,Premium,350,1,cce2839cd2,338.41
2015-08-03 15:48:13,2,b5302a0c,Double BBQ Burger,Premium,350,1,d99614e16e,335.31
2017-09-19 12:29:56,5,29662c7a,Double BBQ Burger,Premium,350,1,ea6364e262,371.59
2016-08-20 19:05:00,1,00f7cc3d,Mini Cheeseburger,Budget,100,3,2d6ddfb3a2,316.18
2016-06-22 20:29:21,3,927ce526,Student Deal Burger,Budget,120,1,22be194e5f,122.25
2015-02-21 09:30:48,3,e8099419,Mini Cheeseburger,Budget,100,2,64c690295b,197.28
2015-01-11 10:25:03,3,cb7cbf00,Truffle Cheese Burger,Premium,370,2,92c65a2fc7,779.34
2017-08-22 04:49:14,3,1c4ccf58,Student Deal Burger,Budget,120,1,eb6a1b6e46,126.02
2016-05-29 15:16:28,2,c9e66d03,Value Chicken Burger,Budget,110,1,08189a4951,114.89
2016-10-05 07:48:38,5,1b484a10,Double BBQ Burger,Premium,350,3,815c29d6da,1013.85
2017-11-30 15:48:23,3,479007ab,Value Chicken Burger,Budget,110,1,830de1977e,118.69
2017-10-24 03:35:46,3,7ffb876e,Student Deal Burger,Budget,120,3,05d1c9da75,363.92
2015-10-12 12:04:20,3,56729b8a,Student Deal Burger,Budget,120,1,d65a26f78b,125.07
2016-09-20 13:20:28,5,d8f35192,Mini Cheeseburger,Budget,100,1,503a58f31a,106.7
2016-07-16 04:10:35,2,4ad3ec30,Value Chicken Burger,Budget,110,3,698f91086f,336.83
2016-01-01 07:27:52,5,df648a90,Double BBQ Burger,Premium,350,2,eea1bb23b7,709.26
2015-11-28 20:31:00,1,e567c114,Mini Cheeseburger,Budget,100,1,169f1cd351,104.08
2017-06-12 18:40:15,4,a5fa38a1,Truffle Cheese Burger,Premium,370,2,08c13f78ba,738.66
2016-02-25 10:43:40,5,4eff454c,Value Chicken Burger,Budget,110,1,8b5b2525ad,117.63
2017-07-24 20:31:13,4,27932274,Mini Cheeseburger,Budget,100,2,537b948043,206.39
2015-05-01 11:19:14,2,dfaa2090,Truffle Cheese Burger,Premium,370,1,089720a249,373.16
2015-12-30 03:37:51,5,d7c78e3f,Value Chicken Burger,Budget,110,1,0b0dbf6f5f,105.69
2016-05-27 17:03:37,1,47c6f80d,Truffle Cheese Burger,Premium,370,1,edd65cc591,405.83
2016-01-05 09:24:46,5,1467d861,Mini Cheeseburger,Budget,100,1,0f96da3571,106.01
2015-07-28 12:12:37,1,12f24213,Value Chicken Burger,Budget,110,1,baaefa40db,115.8
2017-01-26 08:26:14,4,acf26825,Double BBQ Burger,Premium,350,2,da014211a1,700.09
2015-11-30 22:17:55,2,eb67c1d7,Truffle Cheese Burger,Premium,370,1,8bf65996f1,374.42
2015-03-28 14:55:59,1,1490473e,Double BBQ Burger,Premium,350,2,6be608c47d,680.91
2016-11-29 07:38:11,3,4033e263,Mini Cheeseburger,Budget,100,1,3d397e2d17,97.86
2016-09-23 23:51:53,4,986f3972,Student Deal Burger,Budget,120,1,ffe29e6462,118.54
2015-05-17 15:38:31,5,f6317e36,Classic Angus Burger,Premium,320,1,a61228731d,347.27
2016-02-20 08:45:45,1,09261968,Truffle Cheese Burger,Premium,370,1,a699ed4e32,355.66
2016-12-16 01:29:17,5,e11978ef,Mini Cheeseburger,Budget,100,1,95eed8433c,105.09
2017-06-11 16:08:35,5,09dd5ef4,Value Chicken Burger,Budget,110,1,e8ed1839e6,118.56
2016-08-02 08:35:58,2,41534f04,Mini Cheeseburger,Budget,100,2,166fcf7e00,209.63
2015-09-28 20:34:23,4,84500614,Classic Angus Burger,Premium,320,2,4bf21e60c1,670.5
2017-05-20 19:25:56,2,41d42774,Mini Cheeseburger,Budget,100,1,45b4458dc6,97.04
2017-12-12 20:35:47,3,d36b41c0,Value Chicken Burger,Budget,110,1,4723a02e29,114.95
2015-11-08 16:21:18,2,778c408f,Double BBQ Burger,Premium,350,1,7afcb50fd1,380.61
2017-05-22 12:41:50,5,a0d1226a,Mini Cheeseburger,Budget,100,1,d20e739219,107.17
2017-10-10 12:21:31,3,2ebd8df7,Mini Cheeseburger,Budget,100,2,88464e0595,207.66
2017-12-05 10:05:34,1,f2a20ee6,Value Chicken Burger,Budget,110,3,19be2ee433,362.78
2016-08-28 07:55:53,4,01e78755,Value Chicken Burger,Budget,110,1,480cdc4821,107.0
2017-08-03 22:48:23,2,2dde5aa8,Value Chicken Burger,Budget,110,2,9688fed408,217.83
2016-08-08 22:18:35,3,83c4eafe,Value Chicken Burger,Budget,110,1,a03e1a5eee,111.17
2017-07-07 10:56:10,4,b61b6b13,Mini Cheeseburger,Budget,100,1,fbdeac8e83,95.51
2015-11-20 01:03:51,3,2394341b,Mini Cheeseburger,Budget,100,1,115b5e9575,102.97
2017-07-17 21:44:02,4,e39e9302,Mini Cheeseburger,Budget,100,1,7d3b2d334e,97.16
2015-01-11 20:28:19,2,7f0fb769,Truffle Cheese Burger,Premium,370,1,7a6f3693ae,353.77
2016-11-08 11:29:04,3,e2a67309,Value Chicken Burger,Budget,110,1,a6d9e77836,117.79
2016-10-30 13:53:52,1,a2e97ebf,Mini Cheeseburger,Budget,100,3,f6371719fd,327.96
2017-05-07 21:41:34,5,a3cc42da,Student Deal Burger,Budget,120,3,09b931b1f1,344.43
2017-08-10 14:30:27,5,3fd4bef0,Double BBQ Burger,Premium,350,1,90f18d9f5a,357.77
2017-09-02 03:59:34,2,fe746b41,Value Chicken Burger,Budget,110,2,3f65817f49,241.79
2016-03-12 01:18:25,2,04cc9128,Value Chicken Burger,Budget,110,1,6b8db7d4dc,117.86
2015-03-28 06:46:11,4,e2b8ebe5,Classic Angus Burger,Premium,320,2,5769724ee1,655.91
2015-07-23 18:57:27,5,ef5109d3,Mini Cheeseburger,Budget,100,2,854a4a4f84,194.59
2017-02-25 23:10:51,1,ada677f8,Student Deal Burger,Budget,120,1,6c8a699bf9,118.04
2016-05-31 21:37:25,2,5f5d089c,Value Chicken Burger,Budget,110,1,c86481a547,111.75
2017-06-27 06:52:39,4,3f35174a,Student Deal Burger,Budget,120,1,31b2177f28,129.24
2015-03-28 01:35:37,4,68206e99,Mini Cheeseburger,Budget,100,1,8f80e2ac31,101.86
2015-08-23 15:53:25,3,be182b26,Double BBQ Burger,Premium,350,1,40d7b85666,333.28
2015-03-15 11:36:33,4,4bb0c2b6,Mini Cheeseburger,Budget,100,1,0cfbbf0c6e,104.42
2016-08-31 11:46:44,1,011dac06,Student Deal Burger,Budget,120,1,775302f8e0,129.77
2017-11-01 00:43:55,1,9ed34059,Classic Angus Burger,Premium,320,2,38d00af495,650.17
2017-02-11 00:11:06,5,25a0b4b5,Student Deal Burger,Budget,120,2,2e41d73d3e,247.17
2017-06-02 02:34:49,2,9d0e0e21,Value Chicken Burger,Budget,110,1,9a87a076b9,110.79
2016-10-04 06:42:53,3,9db49b61,Student Deal Burger,Budget,120,1,6346936751,114.05
2016-02-05 16:40:19,5,b2959e1b,Double BBQ Burger,Premium,350,1,9369662bf6,358.09
2016-10-07 08:49:34,3,68889333,Mini Cheeseburger,Budget,100,1,87654c9d72,96.23
2017-05-28 12:02:00,5,d8843a7b,Value Chicken Burger,Budget,110,2,b0d0dae288,215.97
2017-06-14 10:13:48,4,1e447930,Student Deal Burger,Budget,120,1,4895a06eb4,129.85
2017-03-17 13:40:39,5,cfc45206,Double BBQ Burger,Premium,350,3,67c7fcd223,1010.49
2016-08-14 16:30:26,5,ec96fe54,Mini Cheeseburger,Budget,100,2,feba5c9864,207.19
2017-10-13 13:07:10,1,05ed0ba4,Double BBQ Burger,Premium,350,1,acf83fff1f,381.7
2016-03-18 11:36:07,2,4650576e,Classic Angus Burger,Premium,320,1,8cd7924c94,336.86
2016-07-14 12:07:39,1,049d74de,Student Deal Burger,Budget,120,3,dcf09fc6c1,385.95
